QUANTITY	TIME	FAC	ORG	LOC	EVENT
['about ten feet']	['the early morning']	['Croton Dam']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
['2 miles']	[]	['Seven Gables road', 'Seven Gables Road', 'Williamston road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['night', 'Overnight', 'the night']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	['Firestone Farm']	[]	[]	[]
[]	['the evening']	[]	['Henry ford museum', 'Henry ford']	[]	[]
[]	[]	[]	['Ford', 'The Michigan Ghost Watchers']	[]	[]
[]	[]	[]	['The Guild']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['nighttime']	[]	[]	[]	[]
[]	[]	['the Berwyn Senior Center', 'Berwyn', 'Richardson']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['7.45 at night']	[]	[]	[]	[]
[]	[]	['Anderson']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['11:00 pm']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['midnight', 'afternoon']	['the African Gallery', 'the American Gallery']	[]	[]	[]
[]	['only moments']	['the Drill Hall']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['Late at night']	[]	[]	[]	[]
[]	['the early morning hours', 'every morning', 'every night']	['Clara Ford Pavilion']	[]	[]	[]
[]	[]	['the Tunnel to Canada']	[]	[]	[]
[]	[]	['Woodward', 'Majestic']	[]	[]	[]
[]	[]	['Orchestra Hall']	['the Detroit Symphony']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['St. Andrews', 'Shelter']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
['about a mile']	[]	['Huron River Dr.']	[]	[]	[]
[]	['one night']	[]	['the First United Methodist Church']	[]	[]
['about two feet']	[]	[]	[]	[]	[]
[]	['night']	['Casey road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Holmes Hall']	[]	[]	[]
[]	['after 3 AM', 'night']	['Holmes Hall - West']	[]	[]	[]
[]	[]	['Hubbard Hall']	[]	[]	[]
[]	['early in the morning']	['Mason Hall']	[]	[]	[]
[]	[]	['Mayo Hall']	[]	[]	[]
[]	[]	[]	['Michigan State University']	[]	[]
[]	['noon']	['the Physical Plant']	[]	[]	[]
[]	[]	['Williams Hall']	[]	[]	[]
[]	[]	[]	[]	['battle creek']	[]
[]	[]	[]	[]	[]	[]
['10 MILE HAYES']	['MIDNIGHT']	[]	[]	[]	[]
[]	['late at night']	['Brush Lake Rd', 'Frost Cemetery', 'Frost']	[]	[]	[]
[]	[]	[]	[]	[]	['the Civil War']
[]	['night']	[]	[]	['the Muskegon River']	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Grand River', 'Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	['Hotel']	[]	[]
['about 4 to 5 feet']	[]	['m89 highway']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['3 in the morning', 'midnight']	['Woodward', 'Marshall']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Iron']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['3rd street']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['12:00']	[]	[]	['Graves']	[]
[]	[]	['the Forester Inn', 'the Forester Cemetery']	[]	[]	[]
[]	[]	[]	[]	['Lake Huron']	[]
[]	['One night', 'Every summer night', 'around 11:30 pm']	[]	[]	[]	[]
[]	[]	[]	['St. Lorenz Lutheran']	[]	[]
[]	['the night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Applebrook Farm']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['7:30pm']	['Garden City High School']	[]	[]	[]
[]	[]	"[""O'Leary Auditorium""]"	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['late at night', 'around 2:30']	['Cambridge']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['L3']	[]	[]
[]	[]	['water tower']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['the night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['the Grand Theatre']	[]	[]	[]
[]	[]	[]	[]	['Ferry Hill']	[]
[]	[]	[]	['Sawdon High School', 'Sawdon']	[]	[]
[]	[]	['Division', 'Fountain']	['Michigan Bell Telephone Company']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Aquinas College']	[]	[]
[]	['approximately 10:00 to 11:30', 'minutes']	['Norwich St']	[]	[]	[]
[]	['very late hours']	['Pickett Hall']	[]	[]	[]
[]	['very late hours']	['Pickett Hall']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['This Old Soldiers Home']	[]	[]	['Civil War']
[]	[]	[]	[]	[]	[]
[]	['early one morning']	['North House Lecture Hall']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['the Thornapple Village Inn']	['Daily Grill/Village Inn']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Monroe Center Cemetery']	[]	[]	[]
[]	['only hours']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['early in the mornings']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['west hall']	['the west hall']	[]	[]
['several miles']	['one night']	[]	[]	['Gross Isle']	[]
[]	[]	[]	['ford']	['Grosse Isle']	['the American Revolution']
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	['Lake St. Clair']	[]
[]	"[""2 o'clock in the morning""]"	[]	[]	[]	[]
[]	['the next morning', 'the night']	[]	[]	['Upper Penn']	[]
[]	[]	['Junction']	[]	['the Allegan Woods']	[]
['70 degrees']	[]	[]	['Phi Kappa Tau House']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Harrison']	[]	[]	[]
[]	['One night']	[]	[]	['Budd Lake']	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['midnight']	[]	[]	[]	[]
[]	['nights']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
['5 feet']	[]	['Holt High School', 'Auditorium']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	"['any dark quiet night', ""around 10 o '""]"	[]	[]	[]	[]
[]	[]	[]	['The Brass Lantern Restaurant', 'Walgreen’s', 'The Brass Inn']	[]	[]
[]	[]	[]	[]	[]	[]
['Several miles']	[]	[]	[]	[]	[]
[]	[]	['Michigan Ave', 'Inkster Rd']	['Union Chapel']	[]	[]
[]	['late at night']	[]	['the Interlochen Arts Camp', 'Academy', 'the Arts Camp', 'Interlochen']	[]	[]
[]	[]	['mill St.']	[]	[]	[]
[]	['3 A.M', 'between 2 and 3 A.M', 'night']	['Oak Hill Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['crouch road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Douglas Ave']	[]	['Alamo Hill']	[]
[]	[]	['The local Jewish Cemetery', 'The Riverside Cemetery', 'Mt. Olivet Catholic Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['late at night', 'night']	['Cannonsburg']	['Homes', 'Oakwood Cemetary']	['Grand River Valley', 'Brewer']	[]
[]	[]	[]	['Wolverine']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
['80 degree']	['night']	[]	[]	[]	[]
[]	['midnight']	['Pine Mountain Road']	['K-Mart']	[]	[]
[]	[]	[]	['U.P. Investigators']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['one evening', 'that night']	['Monroe Road', 'Verna Drive', 'Lambert Estates']	['The Monroe County Paranormal Society']	['Lambert']	[]
[]	[]	[]	[]	['lake Nepessing']	[]
[]	[]	[]	['House', 'Capitol']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['12 midnight']	['Farmington Grave yard']	[]	[]	[]
[]	['late at night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['evening']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	['Bailey']	[]
[]	[]	[]	[]	['angel lake', 'Angel Lake']	[]
[]	['around 1 - 2 am']	[]	[]	[]	[]
['24 mile']	['late at night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['this Bed & Breakfast']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['mornings']	['the North Sally Port']	[]	[]	[]
[]	[]	['the Grand Hotel']	[]	[]	[]
[]	[]	['the Mackinac Bridge']	['Wikipedia']	[]	[]
[]	[]	['Marquette']	[]	[]	[]
[]	['night']	['the Mission House']	[]	[]	[]
[]	['the next morning']	"['Mission Point', ""Mission Point's""]"	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Haunted Places']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Lamphere High School']	[]	[]	[]
[]	['5 seconds']	[]	[]	[]	[]
[]	[]	['Pink Palace']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	['Manitoulin Island', 'Drummond Island']	['the War of 1812']
[]	[]	[]	[]	[]	[]
['5-gallon', 'about 15 inches', 'a few inches', '30 inches']	['2 hours', 'Minutes later', 'Seconds later', 'five minutes later', 'an hour', '5-10 minutes', 'night', 'morning', 'seconds', 'that same night', 'every 10-15 minutes', 'about 20 minutes later']	[]	[]	[]	[]
[]	['One night', 'the night']	['the Anderson Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['late at night']	['fisher street']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['John X. Jamrich Building']	['Northern Michigan University']	[]	[]
[]	[]	['Halverson hall', 'Halverson Hall']	['Northern Michigan University']	[]	[]
[]	['all hours', 'midnight']	['Forest Roberts']	[]	[]	[]
[]	[]	['The Forrest Roberts Theatre', 'Thomas Fine Arts Building']	[]	[]	[]
[]	['several seconds', 'night']	['Thomas', 'Thomas Fine Arts Building', 'McClintoc']	['Forrest Roberts']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['late at night']	['Front Street']	['Shamrock']	[]	[]
[]	[]	['Dexter trail+ Meridian']	[]	[]	[]
[]	['exactly 12:00', 'Every night']	[]	[]	['the Hommochitto River']	[]
[]	[]	['Van Dyke Rd.', 'M-19']	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['around 7:15', 'one night', 'night']	[]	[]	[]	[]
[]	['hours']	[]	[]	[]	[]
[]	['11-12midnight']	['the Midland Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['one night', 'night']	['Wheeler Rd']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Milan Oakvill Rd']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['business hours', 'the night']	['This Junk Yard']	[]	[]	[]
[]	['the night']	['Beddow Hall']	[]	[]	[]
[]	['Another night', 'Each night', 'night']	['Carlin Alumni House']	[]	[]	[]
[]	[]	['Cobb Hall -']	[]	[]	[]
[]	['the middle of the night']	['Troutman Hall']	[]	[]	[]
[]	[]	['Warriner Hall']	['CMU']	[]	[]
[]	[]	[]	[]	[]	[]
['just a few hundred feet']	['night']	[]	['State']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['The Northshore Hospital']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	"[""around 4:00 o'clock""]"	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['night']	[]	['The Voice']	[]	[]
[]	[]	['Mi, Newberry cemetery']	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['every night']	[]	[]	[]	[]
[]	['night']	['Morris Chapel']	[]	[]	[]
[]	['between 2 and 4a.m.']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	['The Dorsey House', 'Dorsey House']	[]	[]	[]
['5 mile']	[]	['Sheldon']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
['12-ft']	[]	['Novi road', 'Home Sweet Home']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['I-96', 'M-104', 'The Nunica Cemetery']	[]	['Spring Lake']	[]
[]	[]	[]	['Fenton Community Center']	[]	[]
[]	['night']	"[""Dunn's Tomb"", 'Drahner Road']"	[]	[]	[]
[]	[]	[]	['North Oakland Medical Center', 'Pontiac General Hospital']	[]	[]
[]	[]	[]	['FBI']	[]	[]
[]	['the night', 'night']	['Lafayette', '4th']	['Baldwin Theater', 'the Baldwin Theatre']	[]	[]
[]	[]	['Mesceola Rd']	[]	[]	[]
[]	[]	[]	['Liberal Arts College']	[]	[]
[]	[]	['Dole Hall']	['Margaret Upton Conservatory of Music', 'Conservatory']	[]	[]
[]	[]	"[""Shepherd's Hall"", ""Shepard's Hall""]"	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night', '12:00 at night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Baker']	[]	[]
[]	['night', 'hours']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Curwood castle', 'Glenwood Ave']	[]	[]	[]
[]	['hours']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['a few seconds', 'every night', 'Every clear night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['the hours', 'ten p.m. and two a.m. You can see']	[]	[]	[]	[]
[]	['night']	[]	[]	['Cordley lake']	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['hours']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['2:27-2:50', 'the end of the day']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Pontiacs']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['the Eagle Theatre']	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['Early one morning']	[]	[]	[]	[]
[]	['night time']	[]	['ParaHaunt Paranormal Researchers', 'McMorran Theater']	[]	[]
[]	['One night']	[]	"[""Will's Place"", ""Bill's Restaurant"", 'Subway', ""Bradford's""]"	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	"['every night', ""about ten o'clock""]"	[]	[]	[]	[]
['Seven mile']	[]	['Inkster road']	['Bell and Sons']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['late in the evening', 'dusk']	"[""St. Agatha's""]"	['Cardinal Dearden High School']	[]	[]
[]	['between 9 and 12']	[]	[]	[]	[]
[]	['night']	[]	['Inn']	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	['Roberts Landing']	[]
['just a foot']	[]	[]	['Theta Chi Fraternity House']	[]	[]
[]	[]	['4th Street']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['the night']	[]	[]	[]	[]
[]	[]	[]	['Pegasus Sports', 'Pegasus']	[]	[]
['5 or 6 hundred feet']	[]	['Camp Rogers']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night', 'the midnight hour']	[]	[]	[]	[]
[]	['night']	['Wayne Rd', 'Van Born']	"['Detroit Diesel', 'the ""Left Wing Gang', 'Ford Motor Co', 'Stinson Aviation']"	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	"[""ten o'clock""]"	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['midnight']	['Gratiot']	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['Some nights', 'midnight']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['one night']	[]	[]	[]	[]
[]	['Late at night']	[]	[]	[]	[]
[]	[]	[]	"[""JB Meinburg's""]"	[]	[]
['6 mile']	['like 1/4 mile']	['Angle Rd']	[]	[]	[]
[]	['late at night']	[]	[]	[]	[]
[]	['the morning', 'night', '12:00 midnight']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	['Trustee Bldg', 'Junction', 'the Felt Mansion', 'Dunes Correctional Facility']	['Allegan County Historical Society']	[]	[]
[]	['night']	['the Soo Locks']	['Corp of Engineers']	[]	[]
['500 feet', '1/4 mile']	[]	[]	[]	[]	[]
[]	['7:55 A.m']	['Sebewaing high school', 'Unionville-Sebewaing', 'M-25']	[]	[]	[]
[]	['afternoon']	[]	[]	[]	[]
['about four miles']	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['hours']	[]	[]	[]	[]
['a few hundred feet']	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['between 11pm and 3am', 'late at night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['hours', 'night']	[]	[]	[]	[]
[]	['around 2 or 3 in the mourning']	['Puttygut Bridge']	[]	[]	[]
[]	['a quiet night']	['Pug Road']	[]	[]	[]
[]	['late at nightin', 'night', '11 pm']	['Lakeshore drive', 'Marter']	[]	['Grosse Pointe woods']	[]
[]	['night']	[]	['Greenwood Elementary School']	[]	[]
[]	['night']	['the Bible Classes Building', 'St. Gertrude Church']	[]	[]	[]
[]	[]	[]	[]	[]	[]
['17 mile']	['night']	[]	[]	['Van Dyke']	[]
[]	['around 12:00 A.M.']	['Havel elementary', 'the Road']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['Some nights']	[]	[]	['the Little Manistee River']	[]
[]	['night']	['Eureka road']	[]	[]	[]
[]	['all night']	['Famous Feild', 'Pardee']	[]	['Birch', 'Birch street']	[]
[]	['night', 'around 10 or 11']	['birtch']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	['Lake Huron']	[]
[]	[]	['Old Mission Peninsula']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['hours of the day']	[]	[]	[]	[]
[]	[]	[]	['McDonalds']	[]	[]
[]	['night', 'the next morning']	[]	[]	['Hoosier Valley']	[]
[]	['night']	['Playhouse']	['Playhouse']	[]	[]
[]	[]	['sawyer rd.']	[]	[]	[]
[]	[]	['The Traverse City State Hospital']	[]	[]	[]
[]	[]	['Chapel']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Riverside Hospital', 'Riverside', 'Henry Ford']	[]	[]
[]	['Late at night']	[]	['Dodge']	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	['Rochester rd.']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	['Highland Hall', 'High Oak Hall', 'Highland Lakes Campus']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['12']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['midnight']	['Geek Rd', 'M71']	[]	[]	[]
[]	['evening']	[]	[]	['South West']	[]
['just a few feet', 'a quarter mile']	['night']	['Novi Rd', 'Southlake Dr.', 'Meadowbrook Rd', 'Decker', 'Thirteen Mile Rd', '13 Mile Rd', '.']	[]	['Walled Lake', 'Walled Lake Child Killer']	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Family Youth Interventions']	[]	[]
[]	[]	[]	[]	[]	[]
['at least 100 feet']	['30 seconds', 'about 10 seconds', 'night']	['Ryan Road', '13 Mile Road', 'Chicago RD']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Moore Building']	[]	[]	[]
[]	['about 10 seconds']	[]	[]	[]	[]
[]	['night time']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Tyler Road Cemetery']	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	['Corwin', 'Wood Street']	[]	[]	[]
[]	['an active night']	[]	['the Palace Theatre Company', 'The Palace Theatre']	[]	[]
[]	['one night']	[]	[]	[]	[]
[]	['night']	['Southland Malls', 'The Texas Roadhouse']	['Texas Roadhouse']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['last one night', '5 minutes later', 'the next morning', 'around 7am']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	['the Kay Beard building']	['Asylum']	[]	[]
[]	[]	['Marquette road']	['EMU', 'John Glenn High School']	[]	[]
[]	['every night', '2am']	[]	['Nankin Mills Middle School']	[]	[]
[]	[]	[]	[]	[]	[]
[]	['summer night']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['11:00']	[]	[]	[]	[]
[]	[]	['Walnut', 'the Eloise Insane Asylum']	[]	[]	[]
['1300 acres']	[]	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['late at night']	['the V.A hospital']	[]	[]	[]
[]	[]	['Marquette Prison']	['the University of Michigan']	[]	[]
[]	['hours']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	['night']	[]	[]	[]	[]
[]	[]	[]	[]	[]	[]
[]	[]	[]	['Spirit', 'Culmerville Hotel']	[]	[]
